100000,BubbleSort,0,17505600500
100000,BubbleSort,1,18491929300
100000,BubbleSort,2,4740536600
100000,BubbleSort,3,1956641300
100000,BubbleSort,4,1229198500
100000,OddEvenSort,0,8529721400
100000,OddEvenSort,1,11253771300
100000,OddEvenSort,2,7870451800
100000,OddEvenSort,3,15705352900
100000,OddEvenSort,4,9847031800
100000,RankSort,0,25528124600
100000,RankSort,1,24925750800
100000,RankSort,2,6443108000
100000,RankSort,3,3116682200
100000,RankSort,4,1731215500
100000,CountingSort,0,2824700
100000,CountingSort,1,7622500
100000,CountingSort,2,3436000
100000,CountingSort,3,1437700
100000,CountingSort,4,1405100
100000,BitonicSort,0,41803000
100000,BitonicSort,1,37502700
100000,BitonicSort,2,27684100
100000,BitonicSort,3,26143900
100000,BitonicSort,4,16896300
100000,QuickSort,0,16585300
100000,QuickSort,1,14046300
100000,QuickSort,2,7929800
100000,QuickSort,3,4383700
100000,QuickSort,4,6592500
100000,RadixSort,0,6632000
100000,RadixSort,1,12166600
100000,RadixSort,2,2121600
100000,RadixSort,3,1381200
100000,RadixSort,4,1877500
100000,MergeSort,0,11146600
100000,MergeSort,1,11949400
100000,MergeSort,2,7954100
100000,MergeSort,3,6408900
100000,MergeSort,4,8024200
